"","ppm","state","USA_region","source","mgstr","bulk_purchase","fac_mgstr","pred"
"2602",0.2,"California","West","Personal",10,"Bulk","10",0.683176883295147
"2603",1,"Wisconsin","Midwest","Personal",10,"Not Bulk","10",0.769748766368869
"2604",0.8,"California","West","Personal",10,"Not Bulk","10",0.769748766368869
"2605",2,"Nevada","West","No Input",5,"Not Bulk","5",1.08427224733984
"2606",1,"Missouri","Midwest","Heard it",10,"Bulk","10",0.744725817043376
"2607",0.85,"Michigan","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2608",2,"Nevada","West","No Input",10,"Not Bulk","10",0.795351133909905
"2609",1,"Pennsylvania","Northeast","Personal",10,"Bulk","10",0.683176883295147
"2610",1,"Pennsylvania","Northeast","Heard it",10,"Bulk","10",0.744725817043376
"2611",0.8,"Montana","West","Personal",10,"Bulk","10",0.683176883295147
"2612",1,"Texas","South","Personal",10,"Not Bulk","10",0.769748766368869
"2613",0.4,"Nevada","West","No Input",10,"Not Bulk","10",0.795351133909905
"2614",0.35,"Pennsylvania","Northeast","Heard it",10,"Not Bulk","10",0.831297700117098
"2615",0.8,"Pennsylvania","Northeast","Personal",10,"Not Bulk","10",0.769748766368869
"2616",0.7,"California","West","Heard it",10,"Not Bulk","10",0.831297700117098
"2617",0.5,"California","West","Heard it",10,"Not Bulk","10",0.831297700117098
"2618",1,"Texas","South","Heard it",10,"Bulk","10",0.744725817043376
"2619",1,"Ohio","Midwest","Personal",10,"Not Bulk","10",0.769748766368869
"2620",1,"Ohio","Midwest","Personal",10,"Not Bulk","10",0.769748766368869
"2621",1,"Delaware","South","No Input",10,"Not Bulk","10",0.795351133909905
"2622",0.25,"Alabama","South","No Input",40,"Not Bulk","40",0.653578499828212
"2623",0.5,"Nevada","West","Personal",10,"Not Bulk","10",0.769748766368869
"2624",0.5,"California","West","No Input",10,"Not Bulk","10",0.795351133909905
"2625",1,"Texas","South","Internet",5,"Bulk","5",0.914058947403418
"2626",0.2,"Florida","South","Personal",10,"Not Bulk","10",0.769748766368869
"2627",0.7,"California","West","Personal",10,"Not Bulk","10",0.769748766368869
"2628",0.8,"California","West","Heard it",10,"Bulk","10",0.744725817043376
"2629",0.025,"Arkansas","South","Internet",10,"Not Bulk","10",0.711709717047208
"2630",0.5,"Texas","South","No Input",10,"Not Bulk","10",0.795351133909905
"2631",0.5,"California","West","Personal",10,"Not Bulk","10",0.769748766368869
"2632",0.5,"Connecticut","Northeast","Personal",10,"Not Bulk","10",0.769748766368869
"2633",0.5,"Oregon","West","No Input",10,"Not Bulk","10",0.795351133909905
"2634",1,"Kentucky","South","Heard it",5,"Not Bulk","5",1.12021881354703
"2635",1,"California","West","No Input",10,"Not Bulk","10",0.795351133909905
"2636",0.7,"Texas","South","Personal",10,"Not Bulk","10",0.769748766368869
"2637",0.5,"Texas","South","Heard it",10,"Not Bulk","10",0.831297700117098
"2638",1,"California","West","Personal",10,"Not Bulk","10",0.769748766368869
"2639",0.35,"Connecticut","Northeast","Personal",10,"Not Bulk","10",0.769748766368869
"2640",1,"New Jersey","Northeast","Personal",10,"Not Bulk","10",0.769748766368869
"2641",0.1,"Oklahoma","South","Personal",40,"Not Bulk","40",0.627976132287176
"2642",2,"Texas","South","Heard it",10,"Not Bulk","10",0.831297700117098
"2643",0.125,"New York","Northeast","Internet",40,"Not Bulk","40",0.569937082965515
"2644",0.4,"Oregon","West","Heard it",5,"Not Bulk","5",1.12021881354703
"2645",0.3,"Missouri","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2646",0.1,"Pennsylvania","Northeast","No Input",10,"Not Bulk","10",0.795351133909905
"2647",1,"Indiana","Midwest","Personal",40,"Not Bulk","40",0.627976132287176
"2648",0.6,"Texas","South","Personal",10,"Bulk","10",0.683176883295147
"2649",1,"North Carolina","South","Personal",10,"Bulk","10",0.683176883295147
"2650",0.6,"California","West","Heard it",10,"Not Bulk","10",0.831297700117098
"2651",0.6,"Alabama","South","Personal",10,"Not Bulk","10",0.769748766368869
"2652",0.2,"Oregon","West","Personal",5,"Bulk","5",0.972097996725079
"2653",0.7,"Louisiana","South","No Input",10,"Not Bulk","10",0.795351133909905
"2654",0.5,"Illinois","Midwest","Personal",40,"Not Bulk","40",0.627976132287176
"2655",0.6,"Arizona","West","No Input",10,"Not Bulk","10",0.795351133909905
"2656",0.1,"California","West","No Input",10,"Not Bulk","10",0.795351133909905
"2657",0.7,"Texas","South","Personal",10,"Not Bulk","10",0.769748766368869
"2658",0.5,"Minnesota","Midwest","Personal",10,"Not Bulk","10",0.769748766368869
"2659",1.5,"Washington","West","No Input",10,"Not Bulk","10",0.795351133909905
"2660",1,"Maryland","South","No Input",5,"Not Bulk","5",1.08427224733984
"2661",0.5,"Arizona","West","Personal",10,"Not Bulk","10",0.769748766368869
"2662",0.2,"Nevada","West","No Input",10,"Not Bulk","10",0.795351133909905
"2663",0.75,"North Carolina","South","No Input",40,"Not Bulk","40",0.653578499828212
"2664",1,"Illinois","Midwest","Heard it",10,"Not Bulk","10",0.831297700117098
"2665",2,"California","West","Personal",10,"Bulk","10",0.683176883295147
"2666",0.325,"Kansas","Midwest","Personal",40,"Not Bulk","40",0.627976132287176
"2667",0.6,"Georgia","South","No Input",5,"Not Bulk","5",1.08427224733984
"2668",1,"Iowa","Midwest","No Input",10,"Bulk","10",0.708779250836183
"2669",1,"South Carolina","South","No Input",10,"Not Bulk","10",0.795351133909905
"2670",0.5,"Nebraska","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2671",0.3,"Illinois","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2672",0.1,"New York","Northeast","Personal",10,"Bulk","10",0.683176883295147
"2673",0.8,"Louisiana","South","No Input",5,"Not Bulk","5",1.08427224733984
"2674",0.1,"Michigan","Midwest","Internet",10,"Bulk","10",0.625137833973486
"2675",0.5,"Ohio","Midwest","Heard it",10,"Not Bulk","10",0.831297700117098
"2676",1,"California","West","Internet",10,"Not Bulk","10",0.711709717047208
"2677",1,"Massachusetts","Northeast","Personal",10,"Bulk","10",0.683176883295147
"2678",1,"North Carolina","South","No Input",5,"Not Bulk","5",1.08427224733984
"2679",0.2,"Missouri","Midwest","Personal",5,"Bulk","5",0.972097996725079
"2680",1.5,"Oregon","West","Personal",10,"Not Bulk","10",0.769748766368869
"2681",2,"Minnesota","Midwest","Personal",5,"Not Bulk","5",1.0586698797988
"2682",2,"Minnesota","Midwest","Heard it",5,"Not Bulk","5",1.12021881354703
"2683",0.8,"Ohio","Midwest","Personal",10,"Bulk","10",0.683176883295147
"2684",0.7,"Alabama","South","Heard it",10,"Not Bulk","10",0.831297700117098
"2685",0.3,"California","West","Personal",10,"Not Bulk","10",0.769748766368869
"2686",0.3,"California","West","Personal",10,"Not Bulk","10",0.769748766368869
"2687",0.7,"Arizona","West","Heard it",10,"Not Bulk","10",0.831297700117098
"2688",0.31,"Oklahoma","South","No Input",10,"Not Bulk","10",0.795351133909905
"2689",1,"Indiana","Midwest","Heard it",10,"Bulk","10",0.744725817043376
"2690",0.5,"Indiana","Midwest","Heard it",10,"Bulk","10",0.744725817043376
"2691",1,"Indiana","Midwest","Heard it",10,"Bulk","10",0.744725817043376
"2692",1,"North Carolina","South","No Input",10,"Not Bulk","10",0.795351133909905
"2693",1,"Texas","South","Heard it",10,"Bulk","10",0.744725817043376
"2694",0.7,"Michigan","Midwest","Personal",10,"Not Bulk","10",0.769748766368869
"2695",2,"Texas","South","No Input",5,"Not Bulk","5",1.08427224733984
"2696",0.75,"Tennessee","South","No Input",40,"Not Bulk","40",0.653578499828212
"2697",0.9,"Georgia","South","Personal",10,"Bulk","10",0.683176883295147
"2698",0.5,"California","West","Personal",10,"Not Bulk","10",0.769748766368869
"2699",1,"Georgia","South","Heard it",10,"Bulk","10",0.744725817043376
"2700",0.5,"Louisiana","South","Internet",40,"Bulk","40",0.483365199891793
"2701",1,"California","West","Internet",10,"Not Bulk","10",0.711709717047208
"2702",1,"Arizona","West","No Input",10,"Not Bulk","10",0.795351133909905
"2703",2,"Arizona","West","Heard it",10,"Not Bulk","10",0.831297700117098
"2704",0.7,"New Mexico","West","Heard it",10,"Bulk","10",0.744725817043376
"2705",2,"Kentucky","South","No Input",10,"Not Bulk","10",0.795351133909905
"2706",0.5,"North Carolina","South","Personal",10,"Not Bulk","10",0.769748766368869
"2707",0.1,"Colorado","West","Personal",10,"Bulk","10",0.683176883295147
"2708",0.5,"Florida","South","Heard it",40,"Bulk","40",0.602953182961683
"2709",1.5,"Michigan","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2710",0.5,"Oregon","West","No Input",10,"Not Bulk","10",0.795351133909905
"2711",0.5,"Pennsylvania","Northeast","Heard it",10,"Not Bulk","10",0.831297700117098
"2712",0.25,"Michigan","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2713",0.5,"South Carolina","South","Heard it",10,"Not Bulk","10",0.831297700117098
"2714",0.5,"North Carolina","South","Heard it",10,"Not Bulk","10",0.831297700117098
"2715",0.025,"Florida","South","Personal",40,"Not Bulk","40",0.627976132287176
"2716",1,"California","West","Personal",5,"Bulk","5",0.972097996725079
"2717",0.8,"California","West","Personal",10,"Bulk","10",0.683176883295147
"2718",1,"Rhode Island","Northeast","No Input",10,"Not Bulk","10",0.795351133909905
"2719",0.5,"Michigan","Midwest","Heard it",10,"Not Bulk","10",0.831297700117098
"2720",0.025,"Louisiana","South","No Input",40,"Bulk","40",0.567006616754489
